fk_schema,fk_table,fk_column,ref_schema,ref_table,ref_column
cashbook,bank_accounts,gl_account_id,finance,gl_accounts,id
cashbook,reconciliations,approved_by,core,users,id
cashbook,reconciliations,bank_account_id,cashbook,bank_accounts,id
cashbook,reconciliations,created_by,core,users,id
cashbook,statement_imports,bank_account_id,cashbook,bank_accounts,id
cashbook,statement_imports,imported_by,core,users,id
cashbook,statement_lines,bank_account_id,cashbook,bank_accounts,id
cashbook,transaction_rules,created_by,core,users,id
cashbook,transaction_rules,target_account_id,finance,gl_accounts,id
cashbook,transaction_rules,tax_code_id,finance,tax_codes,id
core,integration_api_keys,created_by,core,users,id
core,integration_api_keys,entity_id,core,branches,id
core,password_reset_tokens,user_id,core,users,id
core,role_permissions,permission_id,core,permissions,id
core,role_permissions,role_id,core,roles,id
core,user_preferences,user_id,core,users,id
core,user_roles,role_id,core,roles,id
core,user_roles,user_id,core,users,id
core,webhook_deliveries,event_id,core,webhook_events,id
core,webhook_events,subscription_id,core,webhook_subscriptions,id
core,webhook_subscriptions,created_by,core,users,id
core,webhook_subscriptions,entity_id,core,branches,id
crm,contact_document_routing,contact_id,crm,trading_partner_contacts,id
crm,customer_buying_groups,buying_group_id,crm,buying_groups,id
crm,customer_buying_groups,customer_id,crm,customers,id
crm,customer_delivery_addresses,customer_id,crm,customers,id
crm,customers,customer_group_id,crm,customer_groups,id
crm,customers,entity_id,core,branches,id
crm,customers,payment_term_id,finance,payment_terms,id
crm,vendor_banking_change_requests,approved_by,core,users,id
crm,vendor_banking_change_requests,banking_detail_id,crm,vendor_banking_details,id
crm,vendor_banking_change_requests,rejected_by,core,users,id
crm,vendor_banking_change_requests,requested_by,core,users,id
crm,vendor_banking_change_requests,vendor_id,crm,vendors,id
crm,vendor_banking_details,vendor_id,crm,vendors,id
crm,vendors,payment_term_id,finance,payment_terms,id
crm,vendors,vendor_group_id,crm,vendor_groups,id
finance,account_groups,entity_id,core,branches,id
finance,accounting_periods,fiscal_year_id,finance,fiscal_years,id
finance,ap_accounting_setup,created_by,core,users,id
finance,ap_accounting_setup,discount_received_account,finance,gl_accounts,id
finance,ap_accounting_setup,entity_id,core,branches,id
finance,ap_accounting_setup,extra_cost_1_account,finance,gl_accounts,id
finance,ap_accounting_setup,extra_cost_2_account,finance,gl_accounts,id
finance,ap_accounting_setup,extra_cost_3_account,finance,gl_accounts,id
finance,ap_accounting_setup,extra_cost_4_account,finance,gl_accounts,id
finance,ap_accounting_setup,extra_cost_5_account,finance,gl_accounts,id
finance,ap_accounting_setup,extra_cost_variance_1,finance,gl_accounts,id
finance,ap_accounting_setup,extra_cost_variance_2,finance,gl_accounts,id
finance,ap_accounting_setup,extra_cost_variance_3,finance,gl_accounts,id
finance,ap_accounting_setup,extra_cost_variance_4,finance,gl_accounts,id
finance,ap_accounting_setup,extra_cost_variance_5,finance,gl_accounts,id
finance,ap_accounting_setup,foreign_exchange_gain_loss,finance,gl_accounts,id
finance,ap_accounting_setup,freight_accrual,finance,gl_accounts,id
finance,ap_accounting_setup,freight_variance,finance,gl_accounts,id
finance,ap_accounting_setup,payables_control,finance,gl_accounts,id
finance,ap_accounting_setup,purchase_accrual,finance,gl_accounts,id
finance,ap_accounting_setup,purchase_price_variance,finance,gl_accounts,id
finance,ap_accounting_setup,returned_goods_payable,finance,gl_accounts,id
finance,ap_accounting_setup,returned_goods_variance,finance,gl_accounts,id
finance,ap_accounting_setup,rounding_account,finance,gl_accounts,id
finance,ap_accounting_setup,updated_by,core,users,id
finance,ap_accounting_setup,vat_input_account,finance,gl_accounts,id
finance,ap_accounting_setup,withholding_tax_payable,finance,gl_accounts,id
finance,ar_accounting_setup,bad_debt_expense,finance,gl_accounts,id
finance,ar_accounting_setup,created_by,core,users,id
finance,ar_accounting_setup,customer_on_account,finance,gl_accounts,id
finance,ar_accounting_setup,deposit_liability,finance,gl_accounts,id
finance,ar_accounting_setup,discount_allowed_account,finance,gl_accounts,id
finance,ar_accounting_setup,doubtful_debt_provision,finance,gl_accounts,id
finance,ar_accounting_setup,entity_id,core,branches,id
finance,ar_accounting_setup,foreign_exchange_gain_loss,finance,gl_accounts,id
finance,ar_accounting_setup,freight_revenue_account,finance,gl_accounts,id
finance,ar_accounting_setup,interest_charged_revenue,finance,gl_accounts,id
finance,ar_accounting_setup,receivables_control,finance,gl_accounts,id
finance,ar_accounting_setup,revenue_account,finance,gl_accounts,id
finance,ar_accounting_setup,rounding_account,finance,gl_accounts,id
finance,ar_accounting_setup,sales_return_account,finance,gl_accounts,id
finance,ar_accounting_setup,unearned_revenue,finance,gl_accounts,id
finance,ar_accounting_setup,updated_by,core,users,id
finance,ar_accounting_setup,vat_output_account,finance,gl_accounts,id
finance,ar_accounting_setup,write_off_account,finance,gl_accounts,id
finance,assets_accounting_setup,created_by,core,users,id
finance,assets_accounting_setup,entity_id,core,branches,id
finance,assets_accounting_setup,updated_by,core,users,id
finance,bank_statement_lines,statement_id,finance,bank_statements,id
finance,budget_allocations,created_by,core,users,id
finance,budget_allocations,department_id,core,org_units,id
finance,budget_allocations,entity_id,core,branches,id
finance,budget_allocations,fiscal_year_id,finance,fiscal_years,id
finance,budget_allocations,gl_account_id,finance,gl_accounts,id
finance,budget_allocations,period_id,finance,accounting_periods,id
finance,budget_variance_overrides,approved_by,core,users,id
finance,budget_variance_overrides,budget_allocation_id,finance,budget_allocations,id
finance,budget_variance_overrides,department_id,core,org_units,id
finance,budget_variance_overrides,entity_id,core,branches,id
finance,budget_variance_overrides,rejected_by,core,users,id
finance,budget_variance_overrides,submitted_by,core,users,id
finance,cashbook_accounting_setup,bank_charges_expense,finance,gl_accounts,id
finance,cashbook_accounting_setup,cash_in_transit,finance,gl_accounts,id
finance,cashbook_accounting_setup,created_by,core,users,id
finance,cashbook_accounting_setup,entity_id,core,branches,id
finance,cashbook_accounting_setup,foreign_exchange_gain_loss,finance,gl_accounts,id
finance,cashbook_accounting_setup,interest_earned_revenue,finance,gl_accounts,id
finance,cashbook_accounting_setup,interest_paid_expense,finance,gl_accounts,id
finance,cashbook_accounting_setup,petty_class_expense,finance,gl_accounts,id
finance,cashbook_accounting_setup,rounding_account,finance,gl_accounts,id
finance,cashbook_accounting_setup,suspense_account,finance,gl_accounts,id
finance,cashbook_accounting_setup,updated_by,core,users,id
finance,credit_note_lines,credit_note_id,finance,credit_notes,id
finance,credit_notes,branch_id,core,branches,id
finance,credit_notes,customer_id,crm,customers,id
finance,credit_notes,payment_term_id,finance,payment_terms,id
finance,custom_dimension_members,dimension_type_id,finance,dimension_types,id
finance,custom_dimension_members,entity_id,core,org_units,id
finance,custom_dimension_members,parent_id,finance,custom_dimension_members,id
finance,customer_debit_note_lines,debit_note_id,finance,customer_debit_notes,id
finance,customer_debit_notes,customer_id,crm,customers,id
finance,customer_debit_notes,invoice_id,finance,invoices,id
finance,customer_debit_notes,payment_term_id,finance,payment_terms,id
finance,customer_gl_accounts,bad_debt_expense,finance,gl_accounts,id
finance,customer_gl_accounts,created_by,core,users,id
finance,customer_gl_accounts,customer_id,crm,customers,id
finance,customer_gl_accounts,customer_on_account,finance,gl_accounts,id
finance,customer_gl_accounts,deposit_liability,finance,gl_accounts,id
finance,customer_gl_accounts,discount_allowed_account,finance,gl_accounts,id
finance,customer_gl_accounts,doubtful_debt_provision,finance,gl_accounts,id
finance,customer_gl_accounts,foreign_exchange_gain_loss,finance,gl_accounts,id
finance,customer_gl_accounts,freight_revenue_account,finance,gl_accounts,id
finance,customer_gl_accounts,interest_charged_revenue,finance,gl_accounts,id
finance,customer_gl_accounts,receivables_control,finance,gl_accounts,id
finance,customer_gl_accounts,revenue_account,finance,gl_accounts,id
finance,customer_gl_accounts,rounding_account,finance,gl_accounts,id
finance,customer_gl_accounts,sales_return_account,finance,gl_accounts,id
finance,customer_gl_accounts,unearned_revenue,finance,gl_accounts,id
finance,customer_gl_accounts,updated_by,core,users,id
finance,customer_gl_accounts,vat_output_account,finance,gl_accounts,id
finance,customer_gl_accounts,write_off_account,finance,gl_accounts,id
finance,customer_group_gl_accounts,bad_debt_expense,finance,gl_accounts,id
finance,customer_group_gl_accounts,created_by,core,users,id
finance,customer_group_gl_accounts,customer_group_id,crm,customer_groups,id
finance,customer_group_gl_accounts,customer_on_account,finance,gl_accounts,id
finance,customer_group_gl_accounts,deposit_liability,finance,gl_accounts,id
finance,customer_group_gl_accounts,discount_allowed_account,finance,gl_accounts,id
finance,customer_group_gl_accounts,doubtful_debt_provision,finance,gl_accounts,id
finance,customer_group_gl_accounts,foreign_exchange_gain_loss,finance,gl_accounts,id
finance,customer_group_gl_accounts,freight_revenue_account,finance,gl_accounts,id
finance,customer_group_gl_accounts,interest_charged_revenue,finance,gl_accounts,id
finance,customer_group_gl_accounts,receivables_control,finance,gl_accounts,id
finance,customer_group_gl_accounts,revenue_account,finance,gl_accounts,id
finance,customer_group_gl_accounts,rounding_account,finance,gl_accounts,id
finance,customer_group_gl_accounts,sales_return_account,finance,gl_accounts,id
finance,customer_group_gl_accounts,unearned_revenue,finance,gl_accounts,id
finance,customer_group_gl_accounts,updated_by,core,users,id
finance,customer_group_gl_accounts,vat_output_account,finance,gl_accounts,id
finance,customer_group_gl_accounts,write_off_account,finance,gl_accounts,id
finance,customer_payments,bank_account_id,finance,bank_accounts,id
finance,customer_payments,branch_id,core,branches,id
finance,customer_payments,customer_id,crm,customers,id
finance,dimension_asset_members,entity_id,core,org_units,id
finance,dimension_asset_members,parent_id,finance,dimension_asset_members,id
finance,dimension_function_members,entity_id,core,org_units,id
finance,dimension_function_members,parent_id,finance,dimension_function_members,id
finance,dimension_market_members,parent_id,finance,dimension_market_members,id
finance,dimension_members,dimension_id,finance,dimension_rules,id
finance,dimension_project_members,entity_id,core,org_units,id
finance,dimension_project_members,parent_id,finance,dimension_project_members,id
finance,dimension_warehouse_members,warehouse_id,inventory,warehouses,id
finance,fiscal_years,created_by,core,users,id
finance,fiscal_years,entity_id,core,org_units,id
finance,fiscal_years,sealed_by,core,users,id
finance,forex_revaluation_lines,revaluation_id,finance,forex_revaluations,id
finance,gl_accounts,parent_id,finance,gl_accounts,id
finance,gl_dimension_reallocations,batch_id,finance,journal_batches,id
finance,gl_dimension_reallocations,journal_line_id,finance,journal_lines,id
finance,invoice_lines,invoice_id,finance,invoices,id
finance,invoices,branch_id,core,branches,id
finance,invoices,customer_id,crm,customers,id
finance,invoices,payment_term_id,finance,payment_terms,id
finance,journal_batches,branch_id,core,branches,id
finance,journal_lines,account_id,finance,gl_accounts,id
